index,degree,edge_type,group
619,6.0,a_in,miRNA
620,4.0,a_in,miRNA
621,2.0,a_in,miRNA
622,1.0,a_in,miRNA
623,5.0,a_in,miRNA
624,8.0,a_in,miRNA
625,8.0,a_in,miRNA
626,6.0,a_in,miRNA
627,7.0,a_in,miRNA
628,3.0,a_in,miRNA
629,2.0,a_in,miRNA
630,6.0,a_in,miRNA
631,10.0,a_in,miRNA
632,9.0,a_in,miRNA
633,6.0,a_in,miRNA
634,3.0,a_in,miRNA
635,7.0,a_in,miRNA
636,3.0,a_in,miRNA
637,7.0,a_in,miRNA
638,3.0,a_in,miRNA
639,8.0,a_in,miRNA
640,4.0,a_in,miRNA
641,4.0,a_in,miRNA
642,8.0,a_in,miRNA
643,1.0,a_in,miRNA
644,2.0,a_in,miRNA
645,5.0,a_in,miRNA
646,6.0,a_in,miRNA
647,7.0,a_in,miRNA
648,7.0,a_in,miRNA
649,3.0,a_in,miRNA
650,6.0,a_in,miRNA
651,8.0,a_in,miRNA
652,6.0,a_in,miRNA
653,7.0,a_in,miRNA
654,3.0,a_in,miRNA
655,5.0,a_in,miRNA
656,2.0,a_in,miRNA
657,7.0,a_in,miRNA
658,6.0,a_in,miRNA
659,6.0,a_in,miRNA
660,8.0,a_in,miRNA
661,9.0,a_in,miRNA
662,9.0,a_in,miRNA
663,3.0,a_in,miRNA
664,5.0,a_in,miRNA
665,6.0,a_in,miRNA
666,3.0,a_in,miRNA
667,2.0,a_in,miRNA
668,4.0,a_in,miRNA
669,7.0,a_in,miRNA
670,6.0,a_in,miRNA
671,4.0,a_in,miRNA
672,5.0,a_in,miRNA
673,6.0,a_in,miRNA
674,7.0,a_in,miRNA
675,2.0,a_in,miRNA
676,6.0,a_in,miRNA
677,6.0,a_in,miRNA
678,4.0,a_in,miRNA
679,5.0,a_in,miRNA
680,9.0,a_in,miRNA
681,5.0,a_in,miRNA
682,6.0,a_in,miRNA
683,3.0,a_in,miRNA
684,8.0,a_in,miRNA
685,5.0,a_in,miRNA
686,8.0,a_in,miRNA
687,4.0,a_in,miRNA
688,5.0,a_in,miRNA
689,5.0,a_in,miRNA
690,5.0,a_in,miRNA
691,13.0,a_in,miRNA
692,5.0,a_in,miRNA
693,3.0,a_in,miRNA
694,6.0,a_in,miRNA
695,4.0,a_in,miRNA
696,2.0,a_in,miRNA
697,6.0,a_in,miRNA
698,3.0,a_in,miRNA
699,4.0,a_in,miRNA
700,5.0,a_in,miRNA
701,2.0,a_in,miRNA
702,2.0,a_in,miRNA
703,2.0,a_in,miRNA
704,6.0,a_in,miRNA
705,2.0,a_in,miRNA
706,3.0,a_in,miRNA
707,4.0,a_in,miRNA
708,4.0,a_in,miRNA
709,3.0,a_in,miRNA
710,3.0,a_in,miRNA
711,5.0,a_in,miRNA
712,9.0,a_in,miRNA
713,3.0,a_in,miRNA
714,5.0,a_in,miRNA
715,5.0,a_in,miRNA
716,5.0,a_in,miRNA
717,3.0,a_in,miRNA
718,6.0,a_in,miRNA
719,6.0,a_in,miRNA
720,5.0,a_in,miRNA
721,6.0,a_in,miRNA
722,4.0,a_in,miRNA
723,5.0,a_in,miRNA
724,1.0,a_in,miRNA
725,3.0,a_in,miRNA
726,7.0,a_in,miRNA
727,3.0,a_in,miRNA
728,5.0,a_in,miRNA
729,9.0,a_in,miRNA
730,5.0,a_in,miRNA
731,3.0,a_in,miRNA
732,4.0,a_in,miRNA
733,7.0,a_in,miRNA
734,5.0,a_in,miRNA
735,3.0,a_in,miRNA
736,4.0,a_in,miRNA
737,5.0,a_in,miRNA
738,6.0,a_in,miRNA
739,7.0,a_in,miRNA
740,4.0,a_in,miRNA
741,2.0,a_in,miRNA
742,7.0,a_in,miRNA
743,6.0,a_in,miRNA
744,7.0,a_in,miRNA
745,9.0,a_in,miRNA
746,3.0,a_in,miRNA
747,3.0,a_in,miRNA
748,4.0,a_in,miRNA
749,9.0,a_in,miRNA
750,5.0,a_in,miRNA
751,7.0,a_in,miRNA
752,2.0,a_in,miRNA
753,6.0,a_in,miRNA
754,2.0,a_in,miRNA
755,9.0,a_in,miRNA
756,4.0,a_in,miRNA
757,6.0,a_in,miRNA
758,5.0,a_in,miRNA
759,3.0,a_in,miRNA
760,9.0,a_in,miRNA
761,4.0,a_in,miRNA
762,5.0,a_in,miRNA
763,3.0,a_in,miRNA
764,5.0,a_in,miRNA
765,8.0,a_in,miRNA
766,7.0,a_in,miRNA
767,1.0,a_in,miRNA
768,6.0,a_in,miRNA
769,4.0,a_in,miRNA
770,9.0,a_in,miRNA
771,2.0,a_in,miRNA
772,2.0,a_in,miRNA
773,2.0,a_in,miRNA
774,3.0,a_in,miRNA
775,7.0,a_in,miRNA
776,3.0,a_in,miRNA
777,4.0,a_in,miRNA
778,5.0,a_in,miRNA
779,2.0,a_in,miRNA
780,2.0,a_in,miRNA
781,12.0,a_in,miRNA
782,8.0,a_in,miRNA
783,12.0,a_in,miRNA
784,4.0,a_in,miRNA
785,4.0,a_in,miRNA
786,10.0,a_in,miRNA
787,5.0,a_in,miRNA
788,4.0,a_in,miRNA
789,4.0,a_in,miRNA
790,8.0,a_in,miRNA
791,2.0,a_in,miRNA
792,5.0,a_in,miRNA
793,4.0,a_in,miRNA
794,6.0,a_in,miRNA
795,4.0,a_in,miRNA
796,3.0,a_in,miRNA
797,5.0,a_in,miRNA
798,1.0,a_in,miRNA
799,2.0,a_in,miRNA
800,7.0,a_in,miRNA
801,2.0,a_in,miRNA
802,1.0,a_in,miRNA
803,3.0,a_in,miRNA
804,2.0,a_in,miRNA
805,8.0,a_in,miRNA
806,6.0,a_in,miRNA
807,4.0,a_in,miRNA
808,6.0,a_in,miRNA
809,7.0,a_in,miRNA
810,0.0,a_in,miRNA
811,4.0,a_in,miRNA
812,7.0,a_in,miRNA
813,4.0,a_in,miRNA
814,4.0,a_in,miRNA
815,5.0,a_in,miRNA
816,4.0,a_in,miRNA
817,9.0,a_in,miRNA
818,1.0,a_in,miRNA
819,5.0,a_in,miRNA
820,6.0,a_in,miRNA
821,6.0,a_in,miRNA
822,3.0,a_in,miRNA
823,2.0,a_in,miRNA
824,3.0,a_in,miRNA
825,6.0,a_in,miRNA
826,6.0,a_in,miRNA
827,1.0,a_in,miRNA
828,6.0,a_in,miRNA
829,3.0,a_in,miRNA
830,4.0,a_in,miRNA
831,6.0,a_in,miRNA
832,7.0,a_in,miRNA
833,4.0,a_in,miRNA
834,7.0,a_in,miRNA
835,7.0,a_in,miRNA
836,3.0,a_in,miRNA
837,2.0,a_in,miRNA
838,8.0,a_in,miRNA
839,7.0,a_in,miRNA
840,3.0,a_in,miRNA
841,6.0,a_in,miRNA
842,2.0,a_in,miRNA
843,0.0,a_in,miRNA
844,2.0,a_in,miRNA
845,2.0,a_in,miRNA
846,11.0,a_in,miRNA
847,1.0,a_in,miRNA
848,4.0,a_in,miRNA
849,7.0,a_in,miRNA
850,7.0,a_in,miRNA
851,5.0,a_in,miRNA
852,5.0,a_in,miRNA
853,4.0,a_in,miRNA
854,1.0,a_in,miRNA
855,5.0,a_in,miRNA
856,4.0,a_in,miRNA
857,2.0,a_in,miRNA
858,3.0,a_in,miRNA
859,6.0,a_in,miRNA
860,3.0,a_in,miRNA
861,2.0,a_in,miRNA
862,4.0,a_in,miRNA
863,5.0,a_in,miRNA
864,1.0,a_in,miRNA
865,5.0,a_in,miRNA
866,2.0,a_in,miRNA
867,5.0,a_in,miRNA
868,5.0,a_in,miRNA
869,2.0,a_in,miRNA
870,9.0,a_in,miRNA
871,2.0,a_in,miRNA
872,7.0,a_in,miRNA
873,5.0,a_in,miRNA
874,1.0,a_in,miRNA
875,2.0,a_in,miRNA
876,4.0,a_in,miRNA
877,7.0,a_in,miRNA
878,5.0,a_in,miRNA
879,5.0,a_in,miRNA
880,4.0,a_in,miRNA
881,5.0,a_in,miRNA
882,4.0,a_in,miRNA
883,5.0,a_in,miRNA
884,5.0,a_in,miRNA
885,6.0,a_in,miRNA
886,5.0,a_in,miRNA
887,7.0,a_in,miRNA
888,8.0,a_in,miRNA
889,0.0,a_in,miRNA
890,4.0,a_in,miRNA
891,3.0,a_in,miRNA
892,5.0,a_in,miRNA
893,3.0,a_in,miRNA
894,2.0,a_in,miRNA
895,4.0,a_in,miRNA
896,2.0,a_in,miRNA
897,7.0,a_in,miRNA
898,5.0,a_in,miRNA
899,7.0,a_in,miRNA
900,7.0,a_in,miRNA
901,2.0,a_in,miRNA
902,2.0,a_in,miRNA
903,4.0,a_in,miRNA
904,5.0,a_in,miRNA
905,4.0,a_in,miRNA
906,5.0,a_in,miRNA
907,7.0,a_in,miRNA
908,3.0,a_in,miRNA
909,2.0,a_in,miRNA
910,7.0,a_in,miRNA
911,8.0,a_in,miRNA
912,7.0,a_in,miRNA
913,6.0,a_in,miRNA
914,9.0,a_in,miRNA
915,6.0,a_in,miRNA
916,5.0,a_in,miRNA
917,7.0,a_in,miRNA
918,1.0,a_in,miRNA
919,2.0,a_in,miRNA
920,3.0,a_in,miRNA
921,3.0,a_in,miRNA
922,6.0,a_in,miRNA
923,3.0,a_in,miRNA
924,11.0,a_in,miRNA
925,2.0,a_in,miRNA
926,7.0,a_in,miRNA
927,3.0,a_in,miRNA
928,5.0,a_in,miRNA
929,4.0,a_in,miRNA
930,2.0,a_in,miRNA
931,1.0,a_in,miRNA
